City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ballymena,54.8636,-6.2763,282.05,92,100,3.97,GB,2023-03-23
1,Marzuq,14.4,46.4667,296.56,65,10,2.63,YE,2023-03-23
2,Nikolskoye,59.7035,30.7861,278.66,95,66,3.46,RU,2023-03-23
3,Sola,-13.8833,167.55,300.1,74,97,3.01,VU,2023-03-23
4,Kodiak,57.79,-152.4072,271.88,43,0,6.69,US,2023-03-23
5,Punta Arenas,-53.15,-70.9167,283.21,53,75,7.2,CL,2023-03-23
6,Barrow,71.2906,-156.7887,258.16,85,100,5.14,US,2023-03-23
7,Almaznyy,48.0448,40.045,283.14,64,100,2.54,RU,2023-03-23
8,Yar-Sale,66.8333,70.8333,260.26,89,19,5.22,RU,2023-03-23
9,Beringovskiy,63.05,179.3167,252.87,93,100,4.22,RU,2023-03-23
10,Rikitea,-23.1203,-134.9692,298.83,66,98,5.58,PF,2023-03-23
11,Albany,42.6001,-73.9662,286.84,88,99,1.79,US,2023-03-23
12,Urumqi,43.801,87.6005,273.68,64,0,1.0,CN,2023-03-23
13,Saint Anthony,45.0205,-93.218,275.93,46,0,2.57,US,2023-03-23
14,Tuktoyaktuk,69.4541,-133.0374,263.15,79,100,7.72,CA,2023-03-23
15,Hermanus,-34.4187,19.2345,293.6,92,100,3.07,ZA,2023-03-23
16,Lompoc,34.6391,-120.4579,287.37,75,75,9.26,US,2023-03-23
17,Ribeira Grande,38.5167,-28.7,288.58,58,40,5.14,PT,2023-03-23
18,Qaanaaq,77.484,-69.3632,251.43,77,21,1.79,GL,2023-03-23
19,Cockburn Town,21.4612,-71.1419,297.93,77,2,5.68,TC,2023-03-23
20,Mataura,-46.1927,168.8643,278.52,99,60,0.95,NZ,2023-03-23
21,Kristianstad,56.0313,14.1524,282.23,76,0,3.09,SE,2023-03-23
22,Nanortalik,60.1432,-45.2371,271.8,81,99,0.76,GL,2023-03-23
23,Dahuk,36.8695,42.994,286.24,68,100,1.01,IQ,2023-03-23
24,Hamilton,39.1834,-84.5333,294.84,74,100,6.69,US,2023-03-23
25,Vardo,70.3705,31.1107,262.14,67,100,12.86,NO,2023-03-23
26,Khandbari,27.3747,87.2039,289.57,67,97,1.53,NP,2023-03-23
27,Pa Sang,18.5262,98.9394,298.26,46,0,1.27,TH,2023-03-23
28,Aklavik,68.2191,-135.0107,267.15,73,40,6.17,CA,2023-03-23
29,Bengkulu,-3.8004,102.2655,297.54,92,100,0.26,ID,2023-03-23
30,Georgetown,5.4112,100.3354,299.11,99,20,0.0,MY,2023-03-23
31,Narsaq,60.9167,-46.05,275.27,70,95,0.93,GL,2023-03-23
32,Isangel,-19.55,169.2667,298.21,94,75,0.0,VU,2023-03-23
33,East London,-33.0153,27.9116,294.67,94,100,7.2,ZA,2023-03-23
34,Ternate,0.8,127.4,299.55,82,37,1.68,ID,2023-03-23
35,Kaitangata,-46.2817,169.8464,280.07,94,77,1.37,NZ,2023-03-23
36,Ushuaia,-54.8,-68.3,281.96,57,20,5.66,AR,2023-03-23
37,Silikatnyy,53.9896,48.3275,275.74,87,8,3.22,RU,2023-03-23
38,Miri,4.4148,114.0089,299.23,94,20,0.0,MY,2023-03-23
39,Northam,51.0333,-4.2167,282.93,91,52,9.45,GB,2023-03-23
40,Mar Del Plata,-38.0023,-57.5575,299.17,70,40,4.12,AR,2023-03-23
41,Asha,54.9973,57.2722,276.03,81,100,3.58,RU,2023-03-23
